Departamento,Municipio,Cantidad,Divipola
CAUCA,POPAYAN,277270,19001
CAUCA,ALMAGUER,16523,19022
CAUCA,ARGELIA,20136,19050
CAUCA,BALBOA,18910,19075
CAUCA,BOLIVAR,35837,19100
CAUCA,BUENOS AIRES,25257,19110
CAUCA,CAJIBIO,32237,19130
CAUCA,CALDONO,36139,19137
CAUCA,CALOTO,25416,19142
CAUCA,CORINTO,21975,19212
CAUCA,EL TAMBO,38688,19256
CAUCA,FLORENCIA,5089,19290
CAUCA,GUACHENE,18513,19300
CAUCA,GUAPI,24037,19318
CAUCA,INZA,26571,19355
CAUCA,JAMBALO,16353,19364
CAUCA,LA SIERRA,9935,19392
CAUCA,LA VEGA,19777,19397
CAUCA,LOPEZ,15154,19418
CAUCA,MERCADERES,14824,19450
CAUCA,MIRANDA,28662,19455
CAUCA,MORALES,29737,19473
CAUCA,PADILLA,8763,19513
CAUCA,PAEZ,37666,19517
CAUCA,PATIA,28586,19532
CAUCA,PIAMONTE,7125,19533
CAUCA,PIENDAMO,33431,19548
CAUCA,PUERTO TEJADA,40244,19573
CAUCA,PURACE,14952,19585
CAUCA,ROSAS,9336,19622
CAUCA,SAN SEBASTIAN,9806,19693
CAUCA,SANTANDER DE QUILICHAO,96032,19698
CAUCA,SANTA ROSA,5045,19701
CAUCA,SILVIA,33508,19743
CAUCA,SOTARA,11958,19760
CAUCA,SUAREZ,19690,19780
CAUCA,SUCRE,6201,19785
CAUCA,TIMBIO,32217,19807
CAUCA,TIMBIQUI,21618,19809
CAUCA,TORIBIO,30654,19821
CAUCA,TOTORO,20870,19824
CAUCA,VILLA RICA,18761,19845
CESAR,VALLEDUPAR,459349,20001
CESAR,AGUACHICA,95878,20011
CESAR,AGUSTIN CODAZZI,58621,20013
CESAR,ASTREA,18434,20032
CESAR,BECERRIL,20477,20045
CESAR,BOSCONIA,37531,20060
CESAR,CHIMICHAGUA,30289,20175
CESAR,CHIRIGUANA,27006,20178
CESAR,CURUMANI,34838,20228
